term,effect_type,coef_logit,std_err,z_value,p_value,odds_ratio,ci_low_or,ci_high_or
"C(_combo, Sum)[S.diamond | closeness]",method,-296541306864192.6,844538.7962115998,-351128104.7056765,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.diamond | degree]",method,-54439130782646.805,844538.7962115959,-64460189.42746983,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.diamond | trustrank]",method,180175351020794.88,844538.7962115952,213341710.08960113,0.0,inf,inf,inf
"C(_combo, Sum)[S.domino | closeness]",method,-152005152831069.84,838069.906414238,-181375266.7500476,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.domino | degree]",method,-52466747743371.01,838069.9064142173,-62604261.69918961,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.domino | trustrank]",method,-21090236553127.42,838069.9064142035,-25165247.423529238,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.firstneighbor | closeness]",method,49042025078039.66,884706.2676792376,55433115.904883035,0.0,inf,inf,inf
"C(_combo, Sum)[S.firstneighbor | degree]",method,83520862527275.73,884706.2676792372,94405189.13284947,0.0,inf,inf,inf
"C(_combo, Sum)[S.firstneighbor | trustrank]",method,131879073788880.86,884706.2676792379,149065377.5233515,0.0,inf,inf,inf
"C(_combo, Sum)[S.no_tool | closeness]",method,43256449479115.84,750366.1064053533,57647125.99605131,0.0,inf,inf,inf
"C(_combo, Sum)[S.no_tool | degree]",method,81485655450543.98,750366.1064053543,108594531.06284723,0.0,inf,inf,inf
"C(_combo, Sum)[S.no_tool | trustrank]",method,79499728135835.72,750366.1064053557,105947919.89830245,0.0,inf,inf,inf
"C(_combo, Sum)[S.robust | closeness]",method,-156808243957178.34,717992.6965625896,-218398104.47641355,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.robust | degree]",method,10251874014630.791,717992.6965625875,14278521.304899003,0.0,inf,inf,inf
"C(_combo, Sum)[S.robust | trustrank]",method,87009229127622.05,717992.6965625873,121184003.04652329,0.0,inf,inf,inf
"C(_combo, Sum)[S.robust_bias_aware | closeness]",method,-143421997525465.38,718285.0574572368,-199672812.39733157,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.robust_bias_aware | degree]",method,16556724960266.607,718285.0574572365,23050354.15727317,0.0,inf,inf,inf
"C(_combo, Sum)[S.robust_bias_aware | trustrank]",method,85846696273960.61,718285.0574572372,119516193.99944355,0.0,inf,inf,inf
"C(_combo, Sum)[S.rwr | closeness]",method,-99890735994005.69,725501.5766099666,-137685070.87298512,0.0,0.0,0.0,0.0
"C(_combo, Sum)[S.rwr | degree]",method,32821948882207.34,725501.576609967,45240355.00456613,0.0,inf,inf,inf
"C(_combo, Sum)[S.rwr | trustrank]",method,95317933511882.97,725501.5766099673,131382117.67543311,0.0,inf,inf,inf
"C(ppi, Sum)[S.NeDRex]",network,28268045209239.81,493861.7115756115,57238786.783153765,0.0,inf,inf,inf
"C(ppi, Sum)[S.NeDRex_high_confidence]",network,-66602100794904.13,494980.14276326477,-134555096.337992,0.0,0.0,0.0,0.0
"C(ppi, Sum)[S.biogrid]",network,27794459678813.027,491546.84871290205,56544884.28029156,0.0,inf,inf,inf
"C(ppi, Sum)[S.hippie_high_confidence]",network,-106899061097581.66,484816.05588777113,-220494061.1998367,0.0,0.0,0.0,0.0
"C(ppi, Sum)[S.hippie_medium_confidence]",network,21294411717004.88,488377.7832770218,43602335.00819607,0.0,inf,inf,inf
"C(ppi, Sum)[S.iid]",network,30634387472670.53,516349.80727128196,59328747.762223355,0.0,inf,inf,inf
"C(ppi, Sum)[S.string_min700]",network,49880759248591.18,485050.5955838086,102836198.33216475,0.0,inf,inf,inf
"C(ppi, Sum)[S.string_min900]",network,41899647920715.195,484987.4694101536,86393258.72001177,0.0,inf,inf,inf
"C(ppi, Sum)[S.string_physical_min700]",network,1822368232873.5588,491677.83945139416,3706427.434083518,0.0,inf,inf,inf
"C(ppi, Sum)[S.string_physical_min900]",network,-28092917587422.387,513395.1032719478,-54719878.33226652,0.0,0.0,0.0,0.0
approved_drugs_with_targets,other,23625373183673.973,17267.51082563461,1368197965.6616604,0.0,inf,inf,inf
components,other,-1133997804255.5374,250843.23769692637,-4520742.973448841,0.0,0.0,0.0,0.0
diameter,other,5209627752219.673,72271.65186104421,72083972.31927337,0.0,inf,inf,inf
edges,other,16634874356.172035,138.90163587965841,119760103.98167057,0.0,inf,inf,inf
isolated_nodes,other,-1891043667890.3213,230138.0960863898,-8216995.360822212,0.0,0.0,0.0,0.0
jaccard_mean,other,-43316605838776.305,308191.2909996056,-140551037.95529297,0.0,0.0,0.0,0.0
largest_component,other,-762744749421.1292,51624.37869571411,-14774894.51092324,0.0,0.0,0.0,0.0
nodes,other,-445107439629.92236,51833.34803100128,-8587279.358526208,0.0,0.0,0.0,0.0
num_children,other,-3655184913180.3525,16086.239847474257,-227224320.15423808,0.0,0.0,0.0,0.0
seed_entropy,other,639880531551624.8,612109.0763860472,1045370108.4282936,0.0,inf,inf,inf
seed_gene_score_mean,other,54627420789525.055,1254126.4994212806,43558142.511726685,0.0,inf,inf,inf
seed_specificity_adjusted_mean,other,-83803631459344.45,187734.34297431388,-446394783.88251317,0.0,0.0,0.0,0.0
seeds,other,1990604020551.5847,19841.658359641486,100324478.14949438,0.0,inf,inf,inf
seeds_not_in_network,other,1888700746237.239,38818.572733918976,48654564.3803881,0.0,inf,inf,inf
